Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.126448241197829,0.0848827885491218,0.0493133099713473,0,0,0,2.9503242631371,0.00634740247155601,-6.71753439451374E-07,-1.17589213883092E-05,0.00563152025560446,-1.54000011565682E-07,0.011263304731959,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140332,0.00297622851896683,0,0,0,0.0727928435161985,2.20927876796313E-05,-1.64845302056301E-08,-1.5645477317522E-07,1.62632133784213E-05,2.96411876511229E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.059044,0.1674,-0.036503,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,-6.93889390390723E-18,0,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588131E-22,-1.83311841364852E-20,0.000639661580367031,-6.7762635780344E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707058,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056304E-08,1.56454773175212E-07,1.62632133784213E-05,-2.96411876510569E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10807,-0.027781,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,-3.46944695195361E-18,0,0,0,0,0.767080911081152,0.00116426102407189,-4.95911679253153E-37,0,0.000639661580367031,-5.25031148738029E-37,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988246709707E-10,-0.023473389822872,-1.16815021544703E-09,0,0,0,0.0835358720814331,7.72968060896302E-05,-8.60478095934615E-13,1.40586689563478E-13,5.13820931926884E-05,-5.06559896284074E-12,7.73952626484255E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.202,0.24575,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,0,0,-2.77555756156289E-17,0,0,0,0.299097213540614,0.000107128427988291,-7.7154576721694E-22,-6.56176679301773E-22,0.000109833959413418,-8.63231614238912E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.055738,0,3.1416,0,1.5708,LBS,0,0,0,,,,,,,,,,,,
RBS,-4.79882529547115E-10,-0.0234733898228721,-1.16815021544703E-09,0,0,0,0.0835358720814328,7.72968060896302E-05,-8.60478108763694E-13,1.40586703370834E-13,5.13820931926882E-05,-5.06559895617296E-12,7.73952626484253E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.202,-0.07975,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,-6.9389E-18,-6.9389E-18,0,0,0,0,0.2991,0.00010713,1.4297E-21,-2.6682E-22,0.00010983,-8.634E-20,0.00010713,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.055738,0,0,0,-1.5708,RBS,0,0,0,,,,,,,,,,,,
fcam,-0.0115544746517359,-2.64429642848896E-06,0.00129029302682179,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865718E-09,2.17585832536658E-08,4.29479050056035E-06,-8.85018118759569E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.02010346452991,-2.64354903287134E-06,-0.00725869505663598,0,0,0,0.0436119949785286,2.357070560996E-05,-1.01834758005624E-09,2.17579332532706E-08,4.29479078276665E-06,-8.85484503962038E-10,2.21058144654638E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.083,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.0135233595886408,0.000461955982206358,-0.0287648854950511,0,0,0,0.0730845717569496,1.95808757419765E-05,-1.03933585736233E-07,-4.28391168396099E-07,2.41250079666672E-05,9.42710206434157E-09,4.14184516368183E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.19458,0.082006,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-1,imu_link,,imu_link,fixed,-0.044,0.083,0.155,0,0,0,base_link,0,0,0,,,,,,,,,,,,
